id,lyrics completos
1,"Lyrics
La mentira que a ti te dijieron
Nos a separado
Te lo juro por mi madre santa
Que no soy casado
Esa gente que platica tanto
Pierde la amistad
La mentira que a ti te dijieron
Juro que no es verdad
Tu te fuiste no dijiste nada
Eso es sin razon
Me dejaste muy enamorado
A mi corazon
Algun dia quiera Dios que sepas
Toda la verdad
La mentira que a ti te dijieron
Juro que no es verdad
Tu te fuiste no dijiste nada
"
2,"Me gustas por coqueta y altanera
me gusta tu mirada insinuante
me gusta todo lo que llevas puesta
y por tu bella forma de menearte
Me gusta ver cómo te vuela el pelo
cuando vas caminando por la calle
y tu aroma se queda por el viento
dándome valor para acompañarte
Me gustas por coqueta y altanera
me gustas por coqueta
cuando guiñes los ojos
haces que pierda la cabeza
Te gusta que te admire todita la gente
te digan que eres linda y se te sube a la mente
que tienes cara de ángel y figura divina
y que de todo el barrio eres la más bonita
Me gustas por coqueta y altanera
me gustas por coqueta
cuando guiñes los ojos
haces que pierda la cabeza
Me gustas por coqueta y altanera
me gusta tu mirada insinuante
me gusta todo lo que llevas puesta
y por tu bella forma de menearte
Me gusta ver cómo te vuela el pelo
cuando vas caminando por la calle
y tu aroma se queda por el viento
dándome valor para acompañarte
Me gustas por coqueta y altanera
me gustas por coqueta
cuando guiñes los ojos
haces que pierda la cabeza
Te gusta que te admire todita la gente
te digan que eres linda y se te sube a la mente
que tienes cara de ángel y figura divina
y que de todo el barrio eres la más bonita
Me gustas por coqueta y altanera
me gustas por coqueta
cuando guiñes los ojos
haces que pierda la cabeza
cuando guiñes los ojos
haces que pierda la cabeza
cuando guiñes los ojos
haces que pierda la cabeza
cuando guiñes los ojos
haces que pierda la cabeza
"
3,"perdoname si te falle 
por todo los males que te cause
perdoname si yo fui cruel
con tu cariño y con tu querer
perdoname
sin tu cariño no puedo vivir
por eso te pido que vuelvas a mi
pero perdoname si te ofendi
aun sigue latiendo mi pecho por ti
perdoname te quiero ver 
de nuevo en mi casa sonriente otra vez
perdoname
sin tu cariño no puedo vivir
por eso te pido que vuelvas a mi
pero perdoname si te ofendi
aun sigue latiendo mi pecho por ti
perdoname te quiero ver 
de nuevo en mi casa sonriente otra vez
"
4,"Volviste a mi recordando las horas de ayer
urgiendo amor para hacerme en tus brazos caer
pobre de ti por que no lograrás conseguir que te quiera como antes
que te busque y que te ruegue eso no puede ser
Volviste a mi recordando las horas de ayer
urgiendo amor para hacerme en tus brazos caer
pobre de ti por que no lograrás conseguir que te quiera como antes
que te busque y que te ruegue eso no puede ser
[Coro:]
Te di una vez todo mi amor
pero después logré
apartar tu cariño de mi sin dolor
sin dolor
Te di una vez todo mi amor
pero después logré
apartar tu cariño de mi sin dolor
sin dolor
Ay amor
Ya no hay razón que me sigas por donde yo voy
es mejor que te apartes por siempre de mí
no encontrarás el consuelo para tu dolor
si te vas confundida si te vas con la herida que mi amor te dejo
que mi amor te dejo
[Coro:]
"
5,"Alma alma mia
Calma tu agonia
Y tus ansias locas por saber
Ella quien roba mi calma
Bella como una esmeralda
Tiene que ser mi querer
Esa mujer
Y le dire:
Alma Corazón y vida eres tu
Reina de mi amor
Vamos a compartir
Tu me das calor
Y yo te hare feliz
"
6,"Cuando me dijiste que no me querias
Me senti tan poca cosa que pense en morir
Aposte todo el amor que por ti sentia
Destrozaste esos sueños que tenia de ti
Pero como todo en esta vida cambia
No quiero gastar mi vida pensando en ti
Borre de mi pensamiento
Todos tus recuerdos
Te saque ya para siempre de mi existir
Aprendi a vivir la vida a mi manera
Ya no existe mas dolor
Pues ya no estas aqui
Nuevamente veo brillar la luz del dia
Sin tu amor hoy ya puedo vivir alejado de ti
Hoy me siento feliz sin ti
"
7,"Dulce niña andas jugando con lumbre
dulce niña te vas a quemar
porque el amor es algo marabilloso
porque el amor es algo marabilloso
que si me besas te enamoraras
Dulce niña andas jugando con lumbre
dulce niña te vas a quemar
no es a mi a quien tu has de amar en el mundo
no es a mi a quien tu has de amar en el mundo
porque bien sabes que no soy de tu edad
y si piensas ir de prisa ve pero yo aqui te espero
yo estare pidiendole al señor por tu felicidad
y si acaso en tu camino allaste el amor verdadero
yo me ire como el atardeser para no vernos mas
yo me ire como el atardeser para no vernos mas
Dulce niña andas jugando con lumbre
dulce niña te vas a quemar
porque el amor es algo marabilloso
porque el amor es algo marabilloso
que si me besas te enamoraras
Dulce niña andas jugando con lumbre
dulce niña te vas a quemar
no es a mi a quien tu has de amar en el mundo
no es a mi a quien tu has de amar en el mundo
porque bien sabes que no soy de tu edad
y si piensas ir de prisa ve pero yo aqui te espero
yo estare pidiendole al señor por tu felicidad
y si acaso en tu camino allaste solo desconsuelo
yo vendre para llevarte a un mundo de felicidad
yo vendre para llevarte a un mundo de felicidad
yo vendre para llevarte a un mundo de felicidad
"
8,"Despierto apasionado
Mirando a mi ventana
Y entre sollozossuspiro
La luz de la mañana
Me salgo hacia la calle
Espero tu llegada
Pa' colmo de mis males
Te encuentro acompañada 
No no quisiera pensa
Pero esto fue el final
Me has destrozado el alma
Si yo que te enseñado amar
Me has hecho tanto mal
Que Dios no te de calma 
Por tu maldito amor quede
Sin sueños y sin esperanzas
Por tu maldito amor quede
Sin sueños y sin esperanzas
"
9,"Ayer prendí fuego a la casa
Aquella que fue nuestro nido
antes de tu tracion
Allí se quemo tu retrato tu ropa y tu cama
También se quemo mi quitarra
y todas mis canciones
nada mas una no
Adonde te hago el reproche
que fuiste traidora enfame e enfiel
Que tan fuerte sera este reproche
que ni el mismo fuego ha podido cojer
Ayer prendí fuego a la casa
y al ver tu retrato quemarse
me puse a llorar
Oye que mi pobre guitarra
entre llamas lloraba
Alli se quedo entre las llamas
perdido en cenisas
su llanto de metal
Solo ha quedado el reproche
que fuiste traidora enfame e enfiel
Que tan fuerte sera este reproche
que ni el mismo fuego ha podido cojer
"
10,"Parece que no pero las penas matan
parece que no pero las penas acaban
parece que no porque me ven cantando
parece que no pero si estoy llorando
hoy me toco perder 
hoy no pude ganar
traigo un dolor en mi alma 
que conmigo va a acabar
la ingrata se me fue
por otro me dejo
no vuelvo a enamorarme
ni a creer en el amor
de que sirvió quererla más
de haberle dado el corazón
si solo fui una diversión 
para su alma
hoy lloraré en mi soledad
pues es mejor que lamentar
porque en las cosas del amor
las penas matan
hoy me toco perder 
hoy no pude ganar
traigo un dolor en mi alma 
que conmigo va a acabar
la ingrata se me fue
por otro me dejó
no vuelvo a enamorarme
ni a creer en el amor
de que sirvió quererla más
de haberle dado el corazón
si solo fui una diversión 
para su alma
hoy lloraré en mi soledad
pues es mejor que lamentar
porque en las cosas del amor
las penas matan
parece que no porque me ven cantando
parece que no pero si estoy llorando
"
