id,lyrics completos
101,"Lyrics
Nada es igual desde que no estás conmigo
todo a cambiado hasta mi corazón
Te extraño tanto desde que te has ido
pues todo es tan distinto sin tu amor
No me arrepiento de haberte amado tanto
y de entregarte mi alma con pasión
Lo que viví contigo me a marcado
aunque ahora me mate tu adiós
Nada es igual sí tú no estás 
cambiaste el mundo de color
Aunque no quiera recordar
en el aire que respiro está tu olor
Se que también me has de extrañar
que sufres como yo por ti
Perdona lo que hice mal
sin tu amor yo no podré sobrevivir
Es tan distinto no estar contigo
que me está matando el frío
en ésta soledad nada es igual
No me arrepiento de haberte amado tanto
y de entregarte mi alma con pasión
Lo que viví contigo me a marcado
aunque ahora me mate tu adiós
Nada es igual sí tú no estás 
cambiaste el mundo de color
Aunque no quiera recordar
en el aire que respiro está tu olor
Se que también me has de extrañar
que sufres como yo por ti
Perdona lo que hice mal
sin tu amor yo no podré sobrevivir
Es tan distinto no estar contigo
que me está matando el frío
en ésta soledad nada es igual
"
102,"Ya no me queda mas
Que llorar arrepentido
Si ya me hechaste al olvido
Y juraste jamas regresar
Voy a tener que llorar
Tu adios sera mi castigo
Ahora veo que no es lo mismo
Cuando tu no estas
Y eternamente he de rogarte
Por que el error fue de mi parte
Por no cuidarte bien
Ahora te voy a perder
[Coro:]
Voy a extrañarte tanto tanto
Que me ahogare en mi propio llanto
Quiero volver a empesar
Pero otra oportunidad se que no me la daras
Voy a extrañarte tanto tanto
Que morire solo soñando
Que todavia estas aqui
Y que no te vas a ir
Y que me sigues amando
Voy a extrañarte tanto tanto
Voy a tener que llorar
Tu adios sera mi castigo
Ahora veo que no es lo mismo
Cuando tu no estas
Y eternamente he de rogarte
Por que el error fue de mi parte
Por no cuidarte bien
Ahora te voy a perder
[Coro x2]
"
103,"Siento en cada espacio de mi cuerpo
Que recorre a paso lento el fuego del amor
Vivo esclavizado a tus deseos
Prisionero de tus besos atrapado sin razón
Eres ese vicio de mi alma
Y tu veneno me da calma y me llena de valor
Para naufragar sobre tu cuerpo
Navegar sobre tu pecho
Sin rumbo y sin dirección
Perderme una vez más en tu cuerpo
Y dejar que la noche nos debore completos
Saciar tu alma una vez mas con mis besos
Calmar la sed de amar que llevas por dentro
Perderme una vez más en tu cuerpo
Y dejar que la noche nos debore completos
He realizado una vez más este sueño
Que mas que un sueño se volvio verdadero
Sobre tu cuerpo
"
104,"Cómo olvidar tu tierna forma de besar
y apasionada a la ves
que me erizaba hasta la piel
¡Cómo te extraño cómo te extraño!
Cómo borraré esos momentos de placer
que con intensidad viví
y que me hacían tan feliz
¡Cómo te extraño cómo te extraño!
Se que jamás te olvidaré
porque estás siempre en mí
como sombra persiguiendo mi destino
Sólo sé que el mismo no seré
que haz marcado ya lo ves
porque vivo en el pasado sin querer
No puedo esconder la marca del dolor
que me dejó la ausencia de tu adiós 
debilitando al corazón
No puedo esconder las ganas de querer
volver a acariciar sentir tu piel
me duele tanto no poder volverlo hacer
Se que jamás te olvidaré
porque estás siempre en mí
como sombra persiguiendo mi destino
Sólo sé que el mismo no seré
que haz marcado ya lo ves
porque vivo en el pasado sin querer
No puedo esconder la marca del dolor
que me dejó la ausencia de tu adiós 
debilitando al corazón
No puedo esconder las ganas de querer
volver a acariciar sentir tu piel
me duele tanto no poder volverlo hacer
"
105,"¿A dónde estabas tú?
Cuando las noches eran largas
Y tu recuerdo asesinaba
A sangre fría mis pensamientos
¿A dónde estabas tú?
Cuando en mi llanto navegaba
Cuando mi cuerpo extrañaba
Una caricia de tus manos
Y mis ansias con locura te buscaban
¿A dónde estabas tú?
Cuando caminaba sobre los escombros
De esa vida asfixiante
Que con tu adiós me heredaste
¿A dónde estabas tú?
Cuando el mundo entero dió la espalda
Cuando mi cielo era oscuro
Y las estrellas no brillaban
Y hasta la vida estaba en contra
¿dime a dónde estabas tú?
Así que hoy no me culpes
Por haberme refugiado en otros brazos
Por levantar de las cenizas
Lo que tu adiós hizo pedazos
Así que hoy no me culpes
Por ponerle una cruz a tu recuerdo
Por remendarme las heridas
Con el rencor que aún por ti siento
No quieras desenterrar lo que hace tanto tiempo
Tú misma diste por muerto
Así que hoy no me culpes
Por haberme refugiado en otros brazos
Por levantar de las cenizas
Lo que tu adiós hizo pedazos
Así que hoy no me culpes
Por ponerle una cruz a tu recuerdo
Por remendarme las heridas
Con el rencor que aún por ti siento
No quieras desenterrar lo que hace tanto tiempo
Tú misma diste por muerto
Así que hoy no me culpes
Por haberme refugiado en otros brazos
Por levantar de las cenizas
Lo que tu adiós hizo pedazos
Así que hoy no me culpes
Por ponerle una cruz a tu recuerdo
Por remendarme las heridas
Con el rencor que aun por ti siento
No quieras desenterrar lo que hace tanto tiempo
Tú misma diste por muerto
"
106,"Perdona mi forma de actuar
Soy un idiota que no sabe decir lo que siente
Muchas veces hablo solamente por hablar
Y digo cosas que no quiero decir y que te hieren
Perdona mi estupidez
Soy un novato que no sabe decir lo que siente
Mando rosas a escondidas y hago cartas de amor
Me ilusiono y me enamoro
Pienso en ti y me vuelvo loco
Mandame una senal si sientes como yo
Y arrancame este miedo
Ya no quiero sonar
Quiero hacer realidad mi deseo
De tener siempre tus besos
Y es que soy un idiota que se muere de pena
Y me tiemblan las piernas cuando tu te me acercas
Y es que soy un novato que pierde su tiempo
Contando las estrellas y escribiendo poemas
Y es que soy un idiota que te ama en silencio
Siempre con el deseo de decir que te quiero
Y es que soy un novato que se muere de amor
Mandame una senal si sientes igual que yo
Arrancame este miedo y llename de besos
Y es que soy un idiota que se muere de pena
Y me tiemblan las piernas cuando tu te me acercas
Y es que soy un novato que pierde se tiempo
Contando las estrellas y escribiendo poemas
Y es que soy un idiota que te ama en silencio
Siempre con el deseo de decir que te quiero
Y es que soy un novato que se muere de amor 
Mandame una senal si sientes igual que yo 
Y es que soy un idiota que se muere de pena
Y me tiemblan las piernas cuando tu te me acercas
Y es que soy un novato que pierde se tiempo
Contando las estrellas y escribiendo poemas
Y es que soy un idiota que te ama en silencio
Siempre con el deseo de decir que te quiero
Y es que soy un novato que se muere de amor 
Mandame una senal si sientes igual que yo 
Arrancame este miedo y llename de besos
"
107,"Cuantas veces desperté
Llorando en las madrugadas
Cuantas lagrimas tire
Que tuvo que secar mi almohada
Cuantas veces intente
Dejar vacía esta morada
Sabrá dios cuanto aguante
Por esperar que regresaras
Cuantas veces me humille
Y te rogué que te quedaras
Cuanto coraje me trague
Cuando mi amor no te importaba
De tanto tiempo que espere
Se me seco de a poco el alma
Y creo que hasta perdí la fe
Por esperar que regresaras
Y llore como un niño
Y estuve perdido esperando el olvido
Pero ya me canse
De rogar con mi amor
Porque no lo mereces
Y me voy a buscar quien le pueda curar
A mi alma esta herida
Sacare de mi mente poquito a poquito
El encanto que tienes
Porque estoy convencido que pierdo mi tiempo
Y no quieres quererme
Pero ya se acabo y me voy a buscar
A alguien que pueda quererme
Y me voy a olvidar de este error de tu adiós
Que hoy me hiere de muerte
Y tendrás que llorar cuando veas hacia atrás
Porque no sigo tus pasos
Y serás el recuerdo que voy a olvidar
Cuando este en otros brazos
Pero ya me canse
De rogar con mi amor
Porque no lo mereces
Y me voy a buscar quien le pueda curar
A mi alma esta herida
Sacare de mi mente poquito a poquito
El encanto que tienes
Porque estoy convencido que pierdo mi tiempo
Y no quieres quererme
Pero ya se acabo y me voy a buscar
A alguien que pueda quererme
Y me voy a olvidar de este error de tu adiós
Que hoy me hiere de muerte
Y tendrás que llorar cuando veas hacia atrás
Porque no sigo tus pasos
Y serás el recuerdo que voy a olvidar
Cuando este en otros brazos
"
108,"Se que ya es muy tarde para darme cuenta
Que sera grande el dolor y tengo que aguantarme
Que te tuve tan cercita y que no supe valorarte
Que tu amor se me escurre entre los dedos 
Que es inevitable este adios oh no
Se que aunque te insista no vas a quedarte
Que en tu pecho hay una herida dificil de sanar
Que estas cansada de promesas de preguntas sin respuestas
Que hoy se acaba nuestro amor
Que es inevitable este adios oh no
Que fui yo
Quien se quedo con el intento de hacerte feliz
Que no fue falta de amor
Que son fracasos y derrotas los que terminan esta historia
Y me duele
Porque te juro me so'e contigo eternamente
Y hoy se muere
Con este adios mi corazon mi fe y mi buena suerte
Y me duele
Porque no fallo el amor lo que me falto fue suerte
Y tiempo para demostrarte
Que para mi eres lo mas importante
Pero a veces es asi
Aunque pongas por delante al corazon
Hoy he perdido un gran amor
Porque el destino no ayudo
Y eso duele
Y eso duele
Que fui yo
Y me duele
Y me duele
Y eso me duele
"
109,"Por que hasta hoy prometes
llenarme de pasion?
y quieres con un beso
sanar mi corazon
cuando sufri mil noches
pidiendote calor
y tu solo me dabas
rechazos y dolor
Ahora me sorprende
Que busques compasion
Y digas que ignorarme
No fue tu intencion
De cuando aca te humillas
Pidiendome perdon
Lo siento pero es tarde
no quiero mas tu amor
Tu para mi has dejado
De ser irresistible
Que otra noche juntos
No vuelve a repetirse
No intentes con tus labios
Volver a confundirme
Porque para tus besos
Mi piel es insensible
Donde quedo tu orgullo?
Que era indestructible
No llores no te queda
No logras divertirme
Yo en tu lugar me iria
Pero sin despedirme
Y si tienes verguenza
Evitame decirte
Que tu para mis ojos
Ya eres invisible
"
110,"Si pudiera con tu piel
Me haria una camisa
Y con la brisa de tu aliento 
Haria mi aire predilecto
Si pudiera con tu voz
Haria una cancion de amor
Y con el brillo de tus ojos
Haria mil rayos de sol
Si pudiera con mis manos
Te bajaria el cielo a pedazos
Y pondria las estrellas
Para caminar sobre ellas
Si pudiera creerlo
Pararia el tiempo en mi reloj
Para amarte suave y lento
Y nuestro amor seria eterno
Pero no no no puedo
Solo soy un soador
Que quiere araar el cielo
Con la punta de los dedos
Si pudiera correria
A tu lado y te daria
En un abrazo el alma entera
Y lo mejor de mi poesia
Si pudiera cambiaria
En un instante nuestras vidas
Y empezar los dos de cero
Y construir un mundo nuevo
Pero no no no puedo
Solo soy un soador
Que quiere araar el cielo
Con la punta de los dedos
"
