song_id,lgbtfobico,no_lgbtfobico,label
552,0,5,no_lgbtfobico
502,1,4,no_lgbtfobico
45,0,5,no_lgbtfobico
114,0,5,no_lgbtfobico
132,0,5,no_lgbtfobico
186,3,2,lgbtfobico
504,0,5,no_lgbtfobico
85,0,5,no_lgbtfobico
343,0,5,no_lgbtfobico
143,0,5,no_lgbtfobico
317,0,5,no_lgbtfobico
547,0,5,no_lgbtfobico
105,1,4,no_lgbtfobico
553,0,5,no_lgbtfobico
401,0,5,no_lgbtfobico
565,0,5,no_lgbtfobico
78,0,5,no_lgbtfobico
630,0,5,no_lgbtfobico
254,1,4,no_lgbtfobico
489,0,5,no_lgbtfobico
198,1,4,no_lgbtfobico
11,1,4,no_lgbtfobico
3,1,4,no_lgbtfobico
189,0,5,no_lgbtfobico
342,0,5,no_lgbtfobico
466,0,5,no_lgbtfobico
378,0,5,no_lgbtfobico
163,0,5,no_lgbtfobico
400,0,5,no_lgbtfobico
136,1,4,no_lgbtfobico
36,0,5,no_lgbtfobico
281,1,4,no_lgbtfobico
20,2,3,no_lgbtfobico
517,1,4,no_lgbtfobico
215,0,5,no_lgbtfobico
255,1,4,no_lgbtfobico
393,0,5,no_lgbtfobico
73,0,5,no_lgbtfobico
223,1,4,no_lgbtfobico
272,1,4,no_lgbtfobico
280,1,4,no_lgbtfobico
110,0,5,no_lgbtfobico
434,0,5,no_lgbtfobico
583,0,5,no_lgbtfobico
207,0,5,no_lgbtfobico
225,1,4,no_lgbtfobico
330,0,5,no_lgbtfobico
617,0,5,no_lgbtfobico
278,1,4,no_lgbtfobico
97,0,5,no_lgbtfobico
10,0,5,no_lgbtfobico
181,0,5,no_lgbtfobico
19,1,4,no_lgbtfobico
42,0,5,no_lgbtfobico
241,0,5,no_lgbtfobico
355,0,5,no_lgbtfobico
460,0,5,no_lgbtfobico
40,1,4,no_lgbtfobico
427,0,5,no_lgbtfobico
450,0,5,no_lgbtfobico
568,0,5,no_lgbtfobico
216,1,4,no_lgbtfobico
187,0,5,no_lgbtfobico
56,0,5,no_lgbtfobico
144,1,4,no_lgbtfobico
607,1,4,no_lgbtfobico
496,1,4,no_lgbtfobico
438,1,4,no_lgbtfobico
79,0,5,no_lgbtfobico
360,0,5,no_lgbtfobico
222,1,4,no_lgbtfobico
