user_id,gender,orientation,age,academic_level,academic_field,group
5,Masculino,Heterosexual,24,Grado,Ingeniería Matemática ,A
8,Mujer,Bisexual,26,Grado,Matematicas y psicologia,B
12,Masculino,heterosexualidad,30,Licenciatura,Area 1,B
15,Femenino,Pansexual,26,Licenciatura,Lingüística ,A
16,Mujer cisgénero,Heterosexual,25,Licenciatura,Lingüística,A
17,Femenino ,Lesbiana ,35,Licenciatura,Ciencias sociales ,A
18,Agénero,Demisexual,29,Grado,Enseñanza de Inglés,C
22,MUJER,LESBIANA,39,LICENCIATURA,LINGÜÍSTICA,B
23,Mujer,Pansexual ,24,Licenciatura,Lingüística ,C
24,Mujer Cisgénero ,Lesbiana,23,Posgrado,Ciencias de la salud,C
25,Femenino,Heterosexual ,25,Licenciatura,Lingüística ,B
26,Hombre ,Heterosexual ,28,Licenciatura,Lingüística ,B
27,Mujer,Heterosexual ,33,Posgrado ,Computacion,C
28,Masculino,Heterosexual,29,Grado,Lingüística,C
30,No binarix,Homosexual,24,Grado,Lengua y Literaturas Hispánicas,A
