,Unnamed: 0,id,tweet,author,gender
0,0,1008c35dc72c34ead679c539a0ed7c24,i can hear the black bull jukey calling,0,0
1,1,1008c35dc72c34ead679c539a0ed7c24,or the agincourt salute,0,0
2,2,1008c35dc72c34ead679c539a0ed7c24,insight into how challenging touring is for a lot of artists bands,0,0
3,3,1008c35dc72c34ead679c539a0ed7c24,flight of the rat classic purps boogie on down,0,0
4,4,1008c35dc72c34ead679c539a0ed7c24,he switched his twitter aff give him a poke on face book the windsor on leith walk have drink to honour the fb singer,0,0
5,5,1008c35dc72c34ead679c539a0ed7c24,i took my american colleague and her husband on epic edinburgh pub crawl last night ended up the scotsman lounge the whole pub was drunk dancing by the end of the night feeling it a bit tender today,0,0
6,6,1008c35dc72c34ead679c539a0ed7c24,shops to be banned from selling energy drinks to children despite concerns among brexiteers it will affect their perform,0,0
7,7,1008c35dc72c34ead679c539a0ed7c24,yea i think the lower half of the royal mile should pedestrianised it can get almost grid locked in summer,0,0
8,8,1008c35dc72c34ead679c539a0ed7c24,i knew there was reason that went to work there,0,0
9,9,1008c35dc72c34ead679c539a0ed7c24,its sending attack coordinates for the predator ship to land,0,0
10,10,1008c35dc72c34ead679c539a0ed7c24,alternative and new wave charts sounds july august buzzcocks scrapbook,0,0
11,11,1008c35dc72c34ead679c539a0ed7c24,or still too bloody quiet,0,0
12,12,1008c35dc72c34ead679c539a0ed7c24,sorry to hear you didn t enjoy these beers we ve left the details of some beers you might prefer on our voicemai,0,0
13,13,1008c35dc72c34ead679c539a0ed7c24,just got the butterflies i ve been waiting as long as all of you to find out where this is all going best roller coast,0,0
14,14,1008c35dc72c34ead679c539a0ed7c24,festivals cultural groups amp artists will get a share of a pot for leith projects during work to finish the,0,0
15,15,1008c35dc72c34ead679c539a0ed7c24,the fa have backed safe standing areas in stadiums huge news,0,0
16,16,1008c35dc72c34ead679c539a0ed7c24,good read been saying this for years,0,0
17,17,1008c35dc72c34ead679c539a0ed7c24,carl sagan s contact is on kindle today just saying saw the film but have never read the book so i bought it kindledeals,0,0
18,18,1008c35dc72c34ead679c539a0ed7c24,murrayfield will work fine you seem to be saying that only the toxic twins can not play outside their west coast bubble so if both of them get through to a euro final what then this shows how backward looking some people are in the certain parts of the media,0,0
19,19,1008c35dc72c34ead679c539a0ed7c24,you keep your super soft rock classics private though,0,0
20,20,1008c35dc72c34ead679c539a0ed7c24,so just as an experiment i put the president s supremely awkward oval office moment to the closing credits theme,0,0
21,21,1008c35dc72c34ead679c539a0ed7c24,first images from netflix s shirley jackson adaptation the haunting of hill house the robert wise version still creeps me out every time i watch it,0,0
22,22,1008c35dc72c34ead679c539a0ed7c24,airdrieonians vs raith rovers the most fife as f commentary ever,0,0
23,23,1008c35dc72c34ead679c539a0ed7c24,new game of thrones teaser shows cackling power mad george r r martin burning completed winds of winter manuscript,0,0
24,24,1008c35dc72c34ead679c539a0ed7c24,have you seen impulse yet it s a tv series but it has the superhuman powers but there is a difficult underlying story of a young woman dealing with terrible aftermath of an assault great writing,0,0
25,25,1008c35dc72c34ead679c539a0ed7c24,delete your league,0,0
26,26,1008c35dc72c34ead679c539a0ed7c24,stand down laddie,0,0
27,27,1008c35dc72c34ead679c539a0ed7c24,peeps are awfy precious are they no his comments will not stop super movies with dudes in spandex being made,0,0
28,28,1008c35dc72c34ead679c539a0ed7c24,we want to go up this smelly creek we dont have a paddle we are still going up this smelly creek,0,0
29,29,1008c35dc72c34ead679c539a0ed7c24,that wiz a yahoorsunneebs of a game,0,0
30,30,1008c35dc72c34ead679c539a0ed7c24,,0,0
